city,town,address,latitude,longitude
南投縣,南投市,540南投縣南投市中興路660號,23.9028,120.6902
台中市,西屯區,407025台中市西屯區惠來路二段101號,24.1650,120.6411
台中市,中區,400台中市中區臺灣大道一段1號,24.1385,120.6872
台中市,北屯區,40671台中市北屯區崇德路三段835號,24.2015,120.6853
台北市,信義區,台北市信義區忠孝東路四段555號,25.0413,121.5630
台北市,大安區,106台北市大安區建國南路二段269號,25.0786,121.5750
台北市,中正區,100台北市中正區八德路一段1號,25.0443,121.5293
台北市,松山區,105台北市松山區復興北路361巷7號,25.0613,121.5453
台南市,安平區,708台南市安平區永華路二段6號,22.9894,120.1847
台南市,永康區,710台南市永康區中山南路948號,23.0247,120.2522
台南市,東區,701台南市東區中華東路一段366號,22.9916,120.2325
台東縣,台東市,950台東縣台東市鐵花路369號,22.7523,121.1469
嘉義市,西區,600嘉義市西區中山路528號,23.4787,120.4416
嘉義市,太保市,612嘉義縣太保市故宮大道888號,23.4774,120.2923
嘉義市,民雄鄉,621嘉義縣民雄鄉建國路二段285巷11號,23.5490,120.4310
基隆市,仁愛區,200基隆市仁愛區港西街5號,25.1339,121.7390
基隆市,信義區,201基隆市信義區孝忠里深溪路53號,25.1331,121.7822
宜蘭縣,宜蘭市,260宜蘭縣宜蘭市崇聖街2號,24.7531,121.7543
宜蘭縣,羅東鎮,265宜蘭縣羅東鎮民生路6號,24.6767,121.7709
屏東縣,恆春鎮,"天文路1號, 屏東縣恆春鎮",22.0039,120.7473
彰化縣,鹿港鎮,彰化縣鹿港鎮中山路430號,24.0596,120.4314
彰化縣,彰化市,500彰化縣彰化市中正路一段566號,24.0819,120.5395
新北市,板橋區,新北市板橋區忠孝路196-1號,25.0027,121.4656
新北市,三重區,241新北市三重區新北大道一段2號,25.0724,121.4854
新北市,新莊區,新北市新莊區中華路一段75號,25.0404,121.4525
新竹市,東區,300新竹市東區光復路二段101號,24.7971,120.9967
新竹市,北區,300新竹市北區中山路75號,24.8047,120.9655
新竹市,竹北市,302新竹縣竹北市莊敬南路18號,24.8210,121.0215
桃園市,中壢區,32041桃園市中壢區中和路139 號,24.9539,121.2257
桃園市,桃園區,330桃園市桃園區國聖一街12號,24.9879,121.2882
桃園市,平鎮區,324桃園市平鎮區中庸路18號,24.9174,121.2094
澎湖縣,馬公市,"光明路30號1樓, 澎湖縣馬公市",23.5665,119.5655
花蓮縣,花蓮市,970花蓮縣花蓮市國聯一路100號,23.9934,121.6011
苗栗縣,苗栗市,360苗栗縣苗栗市長春街25號,24.5622,120.8211
苗栗縣,頭份市,351苗栗縣頭份市信六街91號,24.6932,120.8944
雲林縣,斗六市,640雲林縣斗六市府前街101號,23.7059,120.5418
雲林縣,虎尾鎮,632雲林縣虎尾鎮忠孝路150號,23.7076,120.4271
高雄市,苓雅區,802高雄市苓雅區三多四路21號,22.6130,120.3016
高雄市,左營區,813高雄市左營區博愛二路757號,22.6708,120.3028
高雄市,鳳山區,830高雄市鳳山區光復路二段130號,22.6300,120.3458
